ADDRESS,TRANSACTION,TYPE,LATITUDE,LONGITUDE
5426 Sepulveda Boulevard,Sold,Owner/User,33.9943165,-118.3950299
5548 Sepulveda Boulevard,Sold,Owner/User,33.9919343,-118.394836
5578-80-82 Sepulveda Boulevard,Sold,Investment,33.9654324,-118.3958482
5563 Sepulveda Boulevard,Sold,Owner/User,33.9914111,-118.395726
11180 Lucerne Ave. (at Sep.),Sold,Investment,34.0005224,-118.4021021
5200 Washington Boulevard,Sold,Owner/User,34.0411592,-118.3542075
5413 Washington Boulevard,Sold,Owner/User,34.0391745,-118.3608666
5529-31 Washington Boulevard,Sold,Owner/User,34.03739,-118.364185
5574 Washington Boulevard,Sold,Investment,34.036135,-118.365532
5620-24 Washington Boulevard,Sold,Owner/User,34.0358241,-118.3663286
5795 Washington Boulevard,Sold,Owner/User,34.0341,-118.371095
5812 Washington Boulevard,Sold,Owner/User,34.0335763,-118.3712604
6001 Washington Boulevard,Sold,Investment,34.0319555,-118.3763429
6007 Washington Boulevard,Sold,Investment,34.032008,-118.376466
6009 Washington Boulevard,Sold,Owner/User,34.0319739,-118.3765835
6015-17 Washington Blvd. (2),Sold,Owner/User,34.031957,-118.376654
6021 Washington Boulevard,Sold,Owner/User,34.0318251,-118.3768165
6029 Washington Boulevard (2),Sold,Owner/User,34.0317796,-118.377125
6033-35 Washington Boulevard,Sold,Owner/User,34.0317614,-118.3773452
6040-60 Washington Boulevard (2),Sold,Investment,34.0313663,-118.3769305
6125 Washington Boulevard (3),Sold,Owner/User,34.0314137,-118.378477
8501-17 Washington Boulevard (2),Sold,Investment,34.0312934,-118.3791451
8512 Washington Boulevard,Sold,Dev. Site,34.0306892,-118.3792992
8520 Washington Boulevard,Sold,Owner/User,34.0307279,-118.3793263
8522 Washington Boulevard,Sold,Owner/User,34.0306976,-118.3795141
8524 Washington Boulevard,Sold,Owner/User,34.0307276,-118.3795939
8533 Washington Boulevard,Sold,Owner/User,34.0310597,-118.3799363
8592-98 Washington Boulevard,Sold,Owner/User,34.0300888,-118.3815133
